year,month,state,latitude,longitude,firespots,firespots2
2000,10,MATO GROSSO,-12.31972065,-56.19051396,3898,0.102779096
2000,10,PARA,-4.017599677,-50.1586613,4308,0.113589622
2000,10,RONDONIA,-10.88792136,-62.70694431,641,0.016901334
2000,10,RORAIMA,3.2483464,-60.69302,25,0.000659178
2000,10,TOCANTINS,-6.478072338,-48.53807403,77,0.002030269
2000,11,AMAPA,1.221863121,-51.25116943,157,0.00413964
2000,11,AMAZONAS,-4.452965185,-59.89807037,27,0.000711913
2000,11,MARANHAO,-3.500647508,-45.98202939,1657,0.043690344
2000,11,MATO GROSSO,-13.48218828,-57.0028588,233,0.006143543
2000,11,PARA,-3.250652629,-49.97659973,3366,0.08875178
2000,11,RONDONIA,-12.06726154,-63.00481538,13,0.000342773
2000,11,RORAIMA,1.913040625,-60.01639063,32,0.000843748
2000,11,TOCANTINS,-6.231993333,-48.59115833,12,0.000316406
2000,12,AMAPA,0.389528333,-51.0966,30,0.000791014
2000,12,AMAZONAS,-2.582034833,-58.26780333,60,0.001582028
2000,12,MARANHAO,-2.812511082,-45.79205302,1275,0.033618098
2000,12,MATO GROSSO,-14.431908,-57.462828,25,0.000659178
2000,12,PARA,-2.58057046,-49.70534673,1697,0.04474503
2000,12,RONDONIA,-11.05351429,-62.62022857,7,0.00018457
2000,12,RORAIMA,1.407522468,-60.07403636,77,0.002030269
2000,12,TOCANTINS,-6.525835,-48.33155,4,0.000105469
2001,1,AMAZONAS,-2.807223333,-59.73666667,3,7.91014E-05
2001,1,MARANHAO,-3.661666,-45.70249,10,0.000263671
2001,1,MATO GROSSO,-13.88304118,-56.74695294,17,0.000448241
2001,1,PARA,-3.574264706,-49.60092941,34,0.000896483
2001,1,RORAIMA,2.96513198,-60.77473762,101,0.002663081
2001,2,AMAZONAS,-2.993125,-63.1349875,8,0.000210937
2001,2,MATO GROSSO,-12.43827407,-55.70925556,27,0.000711913
2001,2,PARA,-5.603646875,-49.98280625,16,0.000421874
2001,2,RONDONIA,-10.867515,-64.75665,2,5.27343E-05
2001,2,RORAIMA,2.10732726,-60.78434427,646,0.01703317
2001,3,AMAZONAS,-3.335831667,-62.3875,6,0.000158203
2001,3,MATO GROSSO,-13.96159048,-57.18468095,21,0.00055371
2001,3,RORAIMA,2.603239874,-61.01248528,1107,0.02918842
2001,4,AMAZONAS,-4.825,-65.1783,1,2.63671E-05
2001,4,MARANHAO,-3.34333,-45.5133,1,2.63671E-05
2001,4,MATO GROSSO,-12.42914979,-55.08334511,235,0.006196277
2001,4,RORAIMA,2.755210684,-60.98939316,380,0.010019512
2001,5,MARANHAO,-3.24833,-46.1483,1,2.63671E-05
2001,5,MATO GROSSO,-12.23214833,-55.24390123,893,0.023545852
2001,5,PARA,-6.531904286,-50.6331,7,0.00018457
2001,5,RONDONIA,-11.120328,-61.54234,5,0.000131836
2001,5,RORAIMA,3.628888889,-61.31203333,9,0.000237304
2001,5,TOCANTINS,-7.61667,-48.4733,1,2.63671E-05
2001,6,ACRE,-7.57833,-72.95,1,2.63671E-05
2001,6,AMAZONAS,-8.349666,-63.99034,5,0.000131836
2001,6,MARANHAO,-4.484996667,-47.23556667,3,7.91014E-05
2001,6,MATO GROSSO,-11.90229511,-55.75827099,4137,0.109080842
2001,6,PARA,-7.173292619,-50.26122857,42,0.00110742
2001,6,RONDONIA,-10.94343903,-62.45957419,31,0.000817381
2001,6,RORAIMA,2.42667,-60.04,1,2.63671E-05
2001,6,TOCANTINS,-7.712858571,-48.65834286,7,0.00018457
2001,7,ACRE,-10.15276667,-67.6761,3,7.91014E-05
2001,7,AMAPA,2.43167,-51.27,1,2.63671E-05
